SAMPLE_CODE,COLLECTION_DATE,COLLECTION_SITE,STATUS,SAMPLE_LOCATION,DAY_1_DATE,DAY_1_SCIENTIST,LMB_VOL,EXTRACTION_DATE,DNA_YIELD,ELUTION_VOLUME_UL,EXTRACTION_SCIENTIST,PCR_DATE,PCR_SCIENTIST,CURRENT_DNA_STORAGE_LOCATION,NOTES,,EXTRACTED,REMAINING
B01-1A,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.684,75,"HRL, MTW",,,,,,,
B01-1B,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.457,75,"HRL, MTW",,,,,,,
B01-1C,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.131,75,"HRL, MTW",,,,,,,
B01-1D,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.311,75,"HRL, MTW",,,,,,,
B01-1E,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.344,75,"HRL, MTW",,,,,,,
B01-1F,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.376,75,"HRL, MTW",,,,,,,
B01-1G,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.301,75,"HRL, MTW",,,,,,,
B01-1H,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.305,75,"HRL, MTW",,,,,,,
B01-2A,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.458,75,"HRL, MTW",,,,,,,
B01-2B,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.196,75,"HRL, MTW",,,,,,,
B01-2C,07-01-2025,B01,extracted,Yi -80,09_03-2025,"HRL, MTW",2,09-04-2025,0.752,75,"HRL, MTW",,,,,,,
extraction blank,NA,NA,extracted,Yi -80,09-02-2025,"HRL, MTW",NA,09-04-2025,0,75,"HRL, MTW",,,,,,,
B01-2D,07-01-2025,B01,extracted,Yi -80,,MTW,,,0.786,75,MTW,,,,,,,
B01-2E,07-01-2025,B01,extracted,Yi -80,,MTW,,,0.652,75,MTW,,,,,,,
B01-2F,07-01-2025,B01,extracted,Yi -80,,MTW,,,0.724,75,MTW,,,,,,,
B01-2G,07-01-2025,B01,extracted,Yi -80,,MTW,,,0.689,75,MTW,,,,,,,
B01-2H,07-01-2025,B01,extracted,Yi -80,,MTW,,,0.791,75,MTW,,,,,,,
B32-1A,07-03-2025,B32,extracted,Yi -80,,MTW,,,0.374,75,MTW,,,,,,,
B32-1B,07-03-2025,B32,extracted,Yi -80,,MTW,,,0.459,75,MTW,,,,,,,
B32-1C,07-03-2025,B32,extracted,Yi -80,,MTW,,,0.488,75,MTW,,,,,,,
B32-1D,07-03-2025,B32,extracted,Yi -80,,MTW,,,0.418,75,MTW,,,,,,,
B32-1E,07-03-2025,B32,extracted,Yi -80,,MTW,,,0.456,75,MTW,,,,,,,
B32-1F,07-03-2025,B32,extracted,Yi -80,,MTW,,,0.442,75,MTW,,,,,,,
extraction blank,NA,NA,extracted,Yi -80,,MTW,,,0,75,MTW,,,,,,,
B32-1G,07-03-2025,B32,extracted,Yi -80,10/08/2025,MTW,,,0.592,75,MTW,,,,,,,
B32-1H,07-03-2025,B32,extracted,Yi -80,10/08/2025,MTW,,,0.33,75,MTW,,,,,,,
B35-1A,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.604,75,MTW,,,,,,,
B35-1B,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.531,75,MTW,,,,,,,
B35-1C,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.457,75,MTW,,,,,,,
B35-1D,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.36,75,MTW,,,,,,,
B35-1E,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.672,75,MTW,,,,,,,
B35-1F,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.56,75,MTW,,,,,,,
B35-1G,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.413,75,MTW,,,,,,,
B35-1H,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.388,75,MTW,,,,,,,
B35-2A,06-30-2025,B35,extracted,Yi -80,10/08/2025,MTW,,,0.684,75,MTW,,,,,,,
extraction blank,NA,NA,extracted,Yi -80,10/08/2025,MTW,,,0,75,MTW,,,,,,,
B32-2A,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.27,75,MTW,,,,,,,
B32-2B,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.432,75,MTW,,,,,,,
B32-2C,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.341,75,MTW,,,,,,,
B32-2D,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.352,75,MTW,,,,,,,
B32-2E,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.21,75,MTW,,,,,,,
B32-2F,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.336,75,MTW,,,,,,,
B32-2G,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.286,75,MTW,,,,,,,
B32-2H,07-03-2025,B32,,Yi -80,10/15/2025,MTW,,,0.236,75,MTW,,,,,,,
B35-2B,06-30-2025,B35,,Yi -80,10/15/2025,MTW,,,0.949,75,MTW,,,,,,,
B35-2C,06-30-2025,B35,,Yi -80,10/15/2025,MTW,,,0.567,75,MTW,,,,,,,
B35-2D,06-30-2025,B35,,Yi -80,10/15/2025,MTW,,,0.838,75,MTW,,,,,,,
extraction blank,NA,NA,,Yi -80,10/15/2025,MTW,,,0,,,,,,,,,