eDNA ID,Site,Date ,Time,Lat original,Long original,GPS original format,GPS original format 2,Latitude (DD),Longitude (DD)
BO6-1A,B06,06/26/2025,9:40,17,149,28.658,48.969,-17.47763333,-149.81615
BO6-1B,B06,06/26/2025,9:46,17,149,28.65,48.977,-17.4775,-149.8162833
B06-1C,B06,06/26/2025,9:50,17,149,28.628,48.967,-17.47713333,-149.8161167
B06-1D,B06,06/26/2025,9:52,17,149,28.618,48.995,-17.47696667,-149.8165833
B06-1E,B06,06/26/2025,9:55,17,149,28.593,49.017,-17.47655,-149.81695
B06-1F,B06,06/26/2025,9:58,17,149,28.565,48.995,-17.47608333,-149.8165833
B06-1G,B06,06/26/2025,10:00,17,149,28.551,48.982,-17.47585,-149.8163667
B06-1H,B06,06/26/2025,10:03,17,149,28.559,49.011,-17.47598333,-149.81685
B06-2A,B06,06/26/2025,16:17,17,149,28.638,48.957,-17.4773,-149.81595
B06-2B,B06,06/26/2025,16:20,17,149,28.605,48.965,-17.47675,-149.8160833
B06-2C,B06,06/26/2025,16:22,17,149,28.58,48.983,-17.47633333,-149.8163833
B06-2D,B06,06/26/2025,16:24,17,149,28.554,48.994,-17.4759,-149.8165667
B06-2E,B06,06/26/2025,16:26,17,149,28.541,48.993,-17.47568333,-149.81655
B06-2F,B06,06/26/2025,16:29,17,149,28.53,48.989,-17.4755,-149.8164833
B06-2G,B06,06/26/2025,16:31,17,149,28.541,49.003,-17.47568333,-149.8167167
B06-2H,B06,06/26/2025,16:34,17,149,28.542,49.018,-17.4757,-149.8169667
B09-1A,B09,06/29/2025,8:24,17,149,,,-17.47363603,-149.785371
B09-1B,B09,06/29/2025,8:29,17,149,,,-17.4735999,-149.7854424
B09-1C,B09,06/29/2025,8:31,17,149,,,-17.47360778,-149.7855448
B09-1D,B09,06/29/2025,8:33,17,149,,,-17.47364583,-149.7857297
B09-1E,B09,06/29/2025,8:34,17,149,,,-17.47363863,-149.7858045
B09-1F,B09,06/29/2025,8:37,17,149,,,-17.47368389,-149.7860048
B09-1G,B09,06/29/2025,8:38,17,149,,,-17.47365539,-149.7860607
B09-1H,B09,06/29/2025,8:40,17,149,,,-17.47372228,-149.7862731
B09-2A,B09,06/29/2025,16:29,17,149,,,-17.47278459,-149.7839402
B09-2B,B09,06/29/2025,16:30,17,149,,,-17.47300596,-149.7841643
B09-2C,B09,06/29/2025,16:32,17,149,,,-17.47344048,-149.7843786
B09-2D,B09,06/29/2025,16:33,17,149,,,-17.47371289,-149.7844729
B09-2E,B09,06/29/2025,,17,149,28.347,47.068,17.47245,-149.7844667
B09-2F,B09,06/29/2025,,17,149,28.358,47.072,17.47263333,-149.7845333
B09-2G,B09,06/29/2025,,17,149,28.369,47.075,17.47281667,-149.7845833
B09-2H,B09,06/29/2025,,17,149,28.376,47.082,17.47293333,-149.7847
B35-1A,B35,06/30/2025,8:18,,,,,-17.49512605,-149.9228884
B35-1B,B35,06/30/2025,8:20,,,,,-17.49524726,-149.9230342
B35-1C,B35,06/30/2025,8:21,,,,,-17.49529788,-149.9230129
B35-1D,B35,06/30/2025,8:23,,,,,-17.49530727,-149.923102
B35-1E,B35,06/30/2025,8:24,,,,,-17.49558899,-149.9230688
B35-1F,B35,06/30/2025,8:26,,,,,-17.495592,-149.9230682
B35-1G,B35,06/30/2025,8:27,,,,,-17.49558572,-149.9231609
B35-1H,B35,06/30/2025,8:29,,,,,-17.49550399,-149.9231272
B35-2A,B35,06/30/2025,15:00,17,149,29.683,55.227,-17.49471667,-149.92045
B35-2B,B35,06/30/2025,15:02,17,149,29.695,55.241,-17.49491667,-149.9206833
B35-2C,B35,06/30/2025,15:04,17,149,29.706,55.255,-17.4951,-149.9209167
B35-2D,B35,06/30/2025,15:06,17,149,29.715,55.259,-17.49525,-149.9209833
B35-2E,B35,06/30/2025,15:08,17,149,29.722,55.264,-17.49536667,-149.9210667
B35-2F,B35,06/30/2025,15:10,17,149,29.721,55.252,-17.49535,-149.9208667
B35-2G,B35,06/30/2025,15:12,17,149,29.724,55.252,-17.4954,-149.9208667
B35-2H,B35,06/30/2025,15:14,17,149,29.729,55.237,-17.49548333,-149.9206167
B01-1A,B01,07/01/2025,9:01,17,149,29.123,53.403,-17.48538333,-149.89005
B01-1B,B01,07/01/2025,9:02,17,149,29.121,53.397,-17.48535,-149.88995
B01-1C,B01,07/01/2025,9:03,17,149,29.12,53.39,-17.48533333,-149.8898333
B01-1D,B01,07/01/2025,9:05,17,149,29.117,53.387,-17.48528333,-149.8897833
B01-1E,B01,07/01/2025,9:07,17,149,29.114,53.38,-17.48523333,-149.8896667
B01-1F,B01,07/01/2025,9:08,17,149,29.112,53.381,-17.4852,-149.8896833
B01-1G,B01,07/01/2025,9:10,17,149,29.11,53.374,-17.48516667,-149.8895667
B01-1H,B01,07/01/2025,9:11,17,149,29.108,53.372,-17.48513333,-149.8895333
B01-2A,B01,07/01/2025,16:10,17,149,29.125,53.392,-17.48541667,-149.8898667
B01-2B,B01,07/01/2025,16:12,17,149,29.125,53.382,-17.48541667,-149.8897
B01-2C,B01,07/01/2025,16:14,17,149,29.121,53.395,-17.48535,-149.8899167
B01-2D,B01,07/01/2025,16:16,17,149,29.118,53.392,-17.4853,-149.8898667
B01-2E,B01,07/01/2025,16:18,17,149,29.114,53.388,-17.48523333,-149.8898
B01-2F,B01,07/01/2025,16:20,17,149,29.114,53.39,-17.48523333,-149.8898333
B01-2G,B01,07/01/2025,16:21,17,149,29.119,53.387,-17.48531667,-149.8897833
B01-2H,B01,07/01/2025,16:22,17,149,29.122,53.383,-17.48536667,-149.8897167
B32-1A,B32,07/03/2025,8:59,,,,,-17.53537302,-149.9128663
B32-1B,B32,07/03/2025,9:01,,,,,-17.53522508,-149.9131612
B32-1C,B32,07/03/2025,9:00,,,,,-17.53529859,-149.9129894
B32-1D,B32,07/03/2025,9:04,,,,,-17.5352094,-149.9131934
B32-1E,B32,07/03/2025,9:03,,,,,-17.53518761,-149.9132222
B32-1F,B32,07/03/2025,9:07,,,,,-17.53530211,-149.9131471
B32-1G,B32,07/03/2025,9:06,,,,,-17.53525425,-149.9131675
B32-1H,B32,07/03/2025,9:10,,,,,-17.53536916,-149.9131139
B32-2A,B32,07/03/2025,15:36,,,,,-17.53490497,-149.9126568
B32-2B,B32,07/03/2025,15:40,,,,,-17.53524226,-149.9129691
B32-2C,B32,07/03/2025,15:37,,,,,-17.53496264,-149.9126877
B32-2D,B32,07/03/2025,15:41,,,,,-17.53539548,-149.9129195
B32-2E,B32,07/03/2025,15:38,,,,,-17.53514092,-149.9128889
B32-2F,B32,07/03/2025,15:44,,,,,-17.53553881,-149.9129074
B32-2G,B32,07/03/2025,15:45,,,,,-17.5355679,-149.9129496
B32-2H,B32,07/03/2025,15:43,,,,,-17.53552482,-149.9130126
FW-1A,FW,07/08/2025,7:33,,,,,-17.51624845,-149.8492765
FW-1B,FW,07/08/2025,7:35,,,,,-17.51629103,-149.8491551
FW-1C,FW,07/08/2025,7:36,,,,,-17.51629103,-149.8491551
FW-1D,FW,07/08/2025,7:37,,,,,-17.51629103,-149.8491551
FW-1E,FW,07/08/2025,7:38,,,,,-17.51629103,-149.8491551
FW-1F,FW,07/08/2025,7:39,,,,,-17.51629103,-149.8491551
FW-1G,FW,07/08/2025,7:40,,,,,-17.51629103,-149.8491551
FW-1H,FW,07/08/2025,7:41,,,,,-17.51629103,-149.8491551
FW-2A,FW,07/08/2025,16:25,,,,,-17.51635096,-149.8489979
FW-2B,FW,07/08/2025,16:26,,,,,-17.51635096,-149.8489979
FW-2C,FW,07/08/2025,16:27,,,,,-17.51635096,-149.8489979
FW-2D,FW,07/08/2025,16:28,,,,,-17.51635096,-149.8489979
FW-2E,FW,07/08/2025,16:29,,,,,-17.51635096,-149.8489979
FW-2F,FW,07/08/2025,16:30,,,,,-17.51635096,-149.8489979
FW-2G,FW,07/08/2025,16:31,,,,,-17.51635096,-149.8489979
FW-2H,FW,07/08/2025,16:32,,,,,-17.51635096,-149.8489979